                                     Mean          SD
beta.(Intercept)               0.16684492  0.10130320
beta.X1                        0.38615374  0.06279524
beta.X2                        0.11953285  0.03393965
b.(Intercept).1               -0.23644166  0.19586371
b.(Intercept).10              -0.67334628  0.20507461
b.(Intercept).11              -0.19774616  0.20663711
b.(Intercept).12              -0.86062364  0.20727949
b.(Intercept).13               0.51401881  0.21778307
b.(Intercept).14              -0.70462260  0.24047195
b.(Intercept).15              -0.44177097  0.22531663
b.(Intercept).16              -0.24498087  0.22868273
b.(Intercept).17              -0.31605647  0.22751938
b.(Intercept).18              -0.54243837  0.25335644
b.(Intercept).19               0.76893451  0.19994261
b.(Intercept).2               -0.11996865  0.24415142
b.(Intercept).20               0.50021945  0.21091876
b.(Intercept).3                0.82611183  0.20813625
b.(Intercept).4                0.77368352  0.22508048
b.(Intercept).5                1.28106955  0.19234900
b.(Intercept).6                0.66771906  0.22701433
b.(Intercept).7                1.01132320  0.19396091
b.(Intercept).8               -1.20438661  0.21214607
b.(Intercept).9               -0.81384950  0.22386851
b.X1.1                         0.03057664  0.06672947
b.X1.10                        0.20054679  0.06764499
b.X1.11                        0.15440601  0.06717637
b.X1.12                       -0.22938919  0.06648167
b.X1.13                       -0.21137185  0.06886665
b.X1.14                       -0.52314338  0.06798039
b.X1.15                        0.41340785  0.06860737
b.X1.16                       -0.97950172  0.06745220
b.X1.17                       -0.18163810  0.06754293
b.X1.18                        0.29445577  0.06832409
b.X1.19                       -0.14041254  0.06764087
b.X1.2                        -0.70657227  0.07284591
b.X1.20                        0.57469508  0.06768690
b.X1.3                         1.25633382  0.06717383
b.X1.4                         0.30130943  0.06870754
b.X1.5                         0.45964484  0.06694185
b.X1.6                        -0.92542103  0.06813733
b.X1.7                        -0.16536647  0.06731932
b.X1.8                         0.23532730  0.06850279
b.X1.9                         0.11732855  0.06708579
b.X2.1                         0.33932872  0.04020201
b.X2.10                        0.47462013  0.04171109
b.X2.11                       -0.10872924  0.04149284
b.X2.12                        0.13738432  0.04141344
b.X2.13                       -0.25616634  0.04186027
b.X2.14                       -0.16273352  0.04330317
b.X2.15                       -0.14801933  0.04306407
b.X2.16                       -0.35057512  0.04225829
b.X2.17                       -0.57139009  0.04450944
b.X2.18                        0.32793589  0.04702844
b.X2.19                        0.18588683  0.04198322
b.X2.2                        -0.17096541  0.04165658
b.X2.20                       -0.19042141  0.04074469
b.X2.3                         0.04541041  0.04211857
b.X2.4                         0.04316851  0.04172118
b.X2.5                         0.13731371  0.04070000
b.X2.6                        -0.08351710  0.04399989
b.X2.7                        -0.08753245  0.04099948
b.X2.8                         0.05889602  0.03993042
b.X2.9                         0.36139686  0.04345709
VCV.(Intercept).(Intercept)    0.74097066  0.26550558
VCV.X1.(Intercept)             0.05760014  0.11727009
VCV.X2.(Intercept)            -0.03279276  0.06176084
VCV.(Intercept).X1             0.05760014  0.11727009
VCV.X1.X1                      0.30167154  0.09868384
VCV.X2.X1                      0.04956224  0.03844412
VCV.(Intercept).X2            -0.03279276  0.06176084
VCV.X1.X2                      0.04956224  0.03844412
VCV.X2.X2                      0.08672170  0.02924647
sigma2                         0.26328224  0.01220370
Deviance                    1503.05861542 11.23636250
                                Naive SE Time-series SE
beta.(Intercept)            0.0022652084   0.0022646900
beta.X1                     0.0014041443   0.0014042509
beta.X2                     0.0007589136   0.0007636117
b.(Intercept).1             0.0043796456   0.0043887638
b.(Intercept).10            0.0045856078   0.0045842144
b.(Intercept).11            0.0046205462   0.0046211043
b.(Intercept).12            0.0046349104   0.0048464831
b.(Intercept).13            0.0048697775   0.0048709959
b.(Intercept).14            0.0053771163   0.0053751353
b.(Intercept).15            0.0050382330   0.0051959985
b.(Intercept).16            0.0051135012   0.0051147671
b.(Intercept).17            0.0050874881   0.0052173737
b.(Intercept).18            0.0056652222   0.0052481904
b.(Intercept).19            0.0044708527   0.0044719363
b.(Intercept).2             0.0054593917   0.0056139866
b.(Intercept).20            0.0047162868   0.0048168132
b.(Intercept).3             0.0046540681   0.0044503386
b.(Intercept).4             0.0050329526   0.0049766290
b.(Intercept).5             0.0043010543   0.0043018301
b.(Intercept).6             0.0050761948   0.0050765930
b.(Intercept).7             0.0043370977   0.0043378255
b.(Intercept).8             0.0047437304   0.0044551376
b.(Intercept).9             0.0050058520   0.0049877264
b.X1.1                      0.0014921162   0.0014919931
b.X1.10                     0.0015125880   0.0015128117
b.X1.11                     0.0015021094   0.0015023757
b.X1.12                     0.0014865754   0.0014901474
b.X1.13                     0.0015399050   0.0015402398
b.X1.14                     0.0015200877   0.0015190848
b.X1.15                     0.0015341073   0.0014972032
b.X1.16                     0.0015082771   0.0015086085
b.X1.17                     0.0015103057   0.0015105781
b.X1.18                     0.0015277731   0.0015279986
b.X1.19                     0.0015124959   0.0015128594
b.X1.2                      0.0016288841   0.0016292298
b.X1.20                     0.0015135251   0.0015130002
b.X1.3                      0.0015020524   0.0015018989
b.X1.4                      0.0015363473   0.0015365988
b.X1.5                      0.0014968653   0.0014971537
b.X1.6                      0.0015235970   0.0015236602
b.X1.7                      0.0015053057   0.0015054724
b.X1.8                      0.0015317690   0.0015313833
b.X1.9                      0.0015000838   0.0015004006
b.X2.1                      0.0008989443   0.0008946907
b.X2.10                     0.0009326883   0.0009325883
b.X2.11                     0.0009278080   0.0009269260
b.X2.12                     0.0009260326   0.0009466480
b.X2.13                     0.0009360241   0.0009403389
b.X2.14                     0.0009682883   0.0009675186
